"package","version"
"R","4.0.3"
"grDevices","4.0.3"
"graphics","4.0.3"
"utils","4.0.3"
"stats","4.0.3"
"methods","4.0.3"
"rlang","0.4.11"
"ellipsis","0.3.2"
"glue","1.4.2"
"cli","2.5.0"
"crayon","1.4.1"
"fansi","0.4.2"
"lifecycle","1.0.0"
"magrittr","2.0.1"
"utf8","1.2.1"
"vctrs","0.3.8"
"fastmap","1.1.0"
"grid","4.0.3"
"pillar","1.6.1"
"pkgconfig","2.0.3"
"purrr","0.3.4"
"bit","4.0.4"
"cachem","1.0.5"
"colorspace","2.0-1"
"generics","0.1.0"
"lattice","0.20-44"
"R6","2.5.0"
"Rcpp","1.0.6"
"sys","3.4"
"tibble","3.1.2"
"tidyselect","1.1.1"
"tools","4.0.3"
"askpass","1.1"
"assertthat","0.2.1"
"base64enc","0.1-3"
"bit64","4.0.5"
"blob","1.2.1"
"DBI","1.1.1"
"digest","0.6.27"
"dplyr","1.0.6"
"farver","2.1.0"
"labeling","0.4.2"
"Matrix","1.3-3"
"memoise","2.0.0"
"munsell","0.5.0"
"nlme","3.1-152"
"plogr","0.2.0"
"RColorBrewer","1.1-2"
"rJava","1.0-4"
"splines","4.0.3"
"stringi","1.6.2"
"triebeard","0.3.0"
"viridisLite","0.4.0"
"withr","2.4.2"
"backports","1.2.1"
"BH","1.75.0-0"
"clipr","0.7.1"
"cpp11","0.2.7"
"curl","4.3.1"
"dbplyr","2.1.1"
"gtable","0.3.0"
"hms","1.1.0"
"htmltools","0.5.1.1"
"isoband","0.2.4"
"jsonlite","1.7.2"
"MASS","7.3-54"
"mgcv","1.8-35"
"mime","0.10"
"openssl","1.4.4"
"RSQLite","2.2.7"
"scales","1.1.1"
"snow","0.4-3"
"SqlRender","1.7.0"
"stringr","1.4.0"
"urltools","1.7.3"
"xml2","1.3.2"
"yaml","2.2.1"
"zip","2.1.1"
"Andromeda","0.4.1"
"checkmate","2.0.0"
"DatabaseConnector","4.0.2"
"ggplot2","3.3.3"
"htmlwidgets","1.5.3"
"httr","1.4.2"
"lubridate","1.7.10"
"openxlsx","4.2.3"
"ParallelLogger","2.0.1"
"readr","1.4.0"
"RJSONIO","1.3-1.4"
"systemfonts","1.0.2"
"tidyr","1.1.3"
"uuid","0.1-4"
"FeatureExtraction","3.1.1"
"ggiraph","0.7.9"
"ROhdsiWebApi","1.2.0"
"CohortDiagnostics","2.0.0"
"ArachneCohortDiagnostics","0.0.1"
