cohort_id,concept_set_id,database_id,concept_id,concept_count,concept_subjects
53,0,dbId,44831045,16700,9148
53,0,dbId,44820684,1540,1413
53,0,dbId,44819500,11336,7264
53,0,dbId,377821,6613,5292
53,0,dbId,44830221,10,10
53,0,dbId,44823192,933,890
53,0,dbId,44820681,2488,1222
53,0,dbId,200687,4841,3823
53,0,dbId,44832191,1231,1199
53,0,dbId,44837245,24,21
53,0,dbId,2617742,-5,-5
53,0,dbId,44833366,8418,5450
53,0,dbId,44832194,7031,4463
53,0,dbId,44819502,1586,1456
53,0,dbId,435216,7476,6142
53,0,dbId,44822936,2554,2080
53,0,dbId,44832190,1266,1242
53,0,dbId,44826460,1364,1309
53,0,dbId,192691,73,57
53,0,dbId,44820682,37635,22141
53,0,dbId,44821617,2853,2584
53,0,dbId,44825263,2358,1160
53,0,dbId,44828795,25606,16825
53,0,dbId,44835748,2404,1190
53,0,dbId,44833364,2398,1171
53,0,dbId,44831046,4444,3680
53,0,dbId,40484648,7757,4715
53,0,dbId,443729,19553,13405
53,0,dbId,443735,3910,3644
53,0,dbId,44822934,1552,1450
53,0,dbId,4062685,9,9
53,0,dbId,318712,5071,4364
53,0,dbId,44835750,2500,1230
53,0,dbId,44826461,3254,2656
53,0,dbId,201254,45392,24943
53,0,dbId,439770,2999,2723
53,0,dbId,44833368,1692,1470
53,0,dbId,44819501,2169,1808
53,0,dbId,443012,10,10
53,0,dbId,44836913,2352,1158
53,0,dbId,2617893,25,25
53,0,dbId,44832192,1282,1248
53,0,dbId,321822,2448,2373
53,0,dbId,443730,2466,2367
53,0,dbId,443733,2999,2293
53,0,dbId,201820,192,169
53,0,dbId,44835751,2306,1142
53,0,dbId,44831047,9839,7450
53,0,dbId,194700,24,21
53,0,dbId,44822938,412,362
53,0,dbId,44829882,4510,3154
53,0,dbId,44819499,2398,1185
53,0,dbId,44829881,2034,1725
53,0,dbId,438476,933,890
53,0,dbId,201531,1266,1242
53,0,dbId,44835749,2546,1246
53,0,dbId,44827617,8600,5433
53,0,dbId,195771,36269,25158
53,0,dbId,44828792,2442,1195
53,0,dbId,44829877,2478,1219
53,0,dbId,30968,412,362
53,0,dbId,4228112,1238,1213
53,0,dbId,44822099,73,57
53,0,dbId,44823798,1117,1080
53,0,dbId,4064918,2853,2584
53,0,dbId,44819504,1764,1542
53,0,dbId,44824072,1645,1499
53,0,dbId,44833367,3636,2936
53,0,dbId,4062686,10,10
53,0,dbId,443732,26203,16064
53,0,dbId,44827616,15917,11250
53,0,dbId,44828790,2474,1209
53,0,dbId,44822933,2484,1215
53,0,dbId,44836912,2598,1281
53,0,dbId,443731,23731,12272
53,0,dbId,44832193,1264,1204
53,0,dbId,2617211,1364,1337
53,0,dbId,44821787,15514,4715
53,0,dbId,44834549,1938,1648
53,0,dbId,44829879,2999,2293
53,0,dbId,44836084,10,10
53,0,dbId,40482801,94671,36304
53,0,dbId,373999,4094,3412
53,0,dbId,44822935,2903,2323
53,0,dbId,44832533,9,9
53,0,dbId,44829876,2448,1201
53,0,dbId,44820680,12979,11306
53,0,dbId,44836918,1986,1837
53,0,dbId,2617884,55,55
53,0,dbId,44820683,1238,1213
53,0,dbId,376065,34024,20404
53,0,dbId,44824071,1447,1345
53,0,dbId,44832188,1279,1251
53,0,dbId,2721043,6,6
53,0,dbId,44821785,2590,1268
53,0,dbId,44829878,2986,2266
53,0,dbId,44819498,2352,1165
53,0,dbId,443734,4631,3657
53,0,dbId,44822932,2406,1179
53,0,dbId,443592,1231,1199
53,0,dbId,2617212,975,844
53,0,dbId,44834548,-5,-5
53,0,dbId,44825264,3485,3032
